Component,Function,FailureModes,Effects,Severity,DetectionControl,RequirementIDs,CyberRisks
go-SOMEIP (someip),Call,Returns unexpected error,Silent failure propagated to caller,medium,unit tests,,CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
go-SOMEIP (someip),Close,Returns unexpected error,Silent failure propagated to caller,medium,unit tests,,CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
go-SOMEIP (someip),FromMessage,Returns unexpected error,Silent failure propagated to caller,high,requirement testing + unit tests,REQ-ADAPT-003,CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
go-SOMEIP (someip),Protocol,Incorrect output,Incorrect system behavior,low,unit tests,,CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
go-SOMEIP (someip),Send,Returns unexpected error,Silent failure propagated to caller,medium,unit tests,,CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
go-SOMEIP (someip),Subscribe,Returns unexpected error,Silent failure propagated to caller,medium,unit tests,,CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
go-SOMEIP (someip),ToMessage,Incorrect output,Incorrect system behavior,high,requirement testing + unit tests,REQ-ADAPT-002,CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
go-SOMEIP (someip),WithBackPressure,Incorrect output,Incorrect system behavior,high,requirement testing + unit tests,REQ-SUB-004,CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
go-SOMEIP (someip),WithChannelDepth,Incorrect output,Incorrect system behavior,high,requirement testing + unit tests,REQ-SUB-001,CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
mock,C,Incorrect output,Incorrect system behavior,high,requirement testing + unit tests,REQ-MOCK-011,
mock,Call,Returns unexpected error,Silent failure propagated to caller,high,requirement testing + unit tests,REQ-MOCK-007,
mock,CallNoReturn,Returns unexpected error; Goroutine not terminated,Silent failure propagated to caller; Memory leak or deadlock,high,requirement testing + unit tests,REQ-MOCK-008,
mock,Close,Returns unexpected error,Silent failure propagated to caller,high,requirement testing + unit tests,REQ-MOCK-013,
mock,Close,Returns unexpected error,Silent failure propagated to caller,high,requirement testing + unit tests,REQ-MOCK-010,
mock,Close,Returns unexpected error,Silent failure propagated to caller,high,requirement testing + unit tests,REQ-MOCK-006,
mock,Emit,Returns unexpected error,Silent failure propagated to caller,high,requirement testing + unit tests,REQ-MOCK-005,
mock,NewBus,Incorrect output,Incorrect system behavior,low,unit tests,,
mock,NewServer,Returns unexpected error,Silent failure propagated to caller,medium,unit tests,,
mock,NewService,Returns unexpected error,Silent failure propagated to caller,medium,unit tests,,
mock,RegisterMethod,Returns unexpected error,Silent failure propagated to caller,high,requirement testing + unit tests,REQ-MOCK-004,
mock,Subscribe,Returns unexpected error,Silent failure propagated to caller,high,requirement testing + unit tests,REQ-MOCK-009,
mock,Unsubscribe,Returns unexpected error,Silent failure propagated to caller,high,requirement testing + unit tests,REQ-MOCK-012,
sd,DecodeEntry,Returns unexpected error,Silent failure propagated to caller,high,requirement testing + unit tests,REQ-SD-003,CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint8(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint8(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint8(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
sd,DecodeIPv4Option,Returns unexpected error,Silent failure propagated to caller,medium,unit tests,,CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint8(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint8(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint8(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
sd,EncodeEntry,Incorrect output,Incorrect system behavior,high,requirement testing + unit tests,REQ-SD-002,CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint8(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint8(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint8(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
sd,EncodeIPv4Option,Incorrect output,Incorrect system behavior,low,unit tests,,CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint8(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint8(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint8(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
sd,Find,Incorrect output,Incorrect system behavior,low,unit tests,,CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint8(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint8(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint8(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
sd,NewRegistry,Incorrect output,Incorrect system behavior,low,unit tests,,CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint8(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint8(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint8(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
sd,Offer,Incorrect output,Incorrect system behavior,low,unit tests,,CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint8(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint8(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint8(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
tcp,Call,Returns unexpected error,Silent failure propagated to caller,medium,unit tests,,
tcp,CallNoReturn,Returns unexpected error,Silent failure propagated to caller,medium,unit tests,,
tcp,Close,Returns unexpected error,Silent failure propagated to caller,medium,unit tests,,
tcp,Close,Returns unexpected error,Silent failure propagated to caller,medium,unit tests,,
tcp,Emit,Returns unexpected error,Silent failure propagated to caller,medium,unit tests,,
tcp,LocalAddr,Incorrect output,Incorrect system behavior,low,unit tests,,
tcp,NewServer,Returns unexpected error; Goroutine not terminated,Silent failure propagated to caller; Memory leak or deadlock,medium,unit tests,,
tcp,NewService,Returns unexpected error; Goroutine not terminated,Silent failure propagated to caller; Memory leak or deadlock,medium,unit tests,,
tcp,RegisterMethod,Returns unexpected error,Silent failure propagated to caller,medium,unit tests,,
tcp,Subscribe,Returns unexpected error,Silent failure propagated to caller,medium,unit tests,,
tp,Add,Returns unexpected error,Silent failure propagated to caller,high,requirement testing + unit tests,REQ-TP-008; REQ-TP-009; REQ-TP-010; REQ-TP-011; REQ-TP-012,CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
tp,BaseMessageType,Incorrect output,Incorrect system behavior,high,requirement testing + unit tests,REQ-TP-005,CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
tp,Close,Incorrect output,Incorrect system behavior,high,requirement testing + unit tests,REQ-TP-013,CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
tp,IsTP,Incorrect output,Incorrect system behavior,high,requirement testing + unit tests,REQ-TP-004,CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
tp,NewReassembler,Goroutine not terminated,Memory leak or deadlock,high,requirement testing + unit tests,REQ-TP-007,CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
tp,Segment,Returns unexpected error,Silent failure propagated to caller,high,requirement testing + unit tests,REQ-TP-001; REQ-TP-002; REQ-TP-003,CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
udp,C,Incorrect output,Incorrect system behavior,high,requirement testing + unit tests,REQ-UDP-010,
udp,Call,Returns unexpected error,Silent failure propagated to caller,medium,unit tests,,
udp,CallNoReturn,Returns unexpected error,Silent failure propagated to caller,medium,unit tests,,
udp,Close,Returns unexpected error,Silent failure propagated to caller,medium,unit tests,,
udp,Close,Returns unexpected error,Silent failure propagated to caller,high,requirement testing + unit tests,REQ-UDP-012,
udp,Close,Returns unexpected error,Silent failure propagated to caller,medium,unit tests,,
udp,Emit,Returns unexpected error,Silent failure propagated to caller,medium,unit tests,,
udp,LocalAddr,Incorrect output,Incorrect system behavior,low,unit tests,,
udp,NewServer,Returns unexpected error; Goroutine not terminated,Silent failure propagated to caller; Memory leak or deadlock,medium,unit tests,,
udp,NewService,Returns unexpected error; Goroutine not terminated,Silent failure propagated to caller; Memory leak or deadlock,medium,unit tests,,
udp,RegisterMethod,Returns unexpected error,Silent failure propagated to caller,medium,unit tests,,
udp,Subscribe,Returns unexpected error,Silent failure propagated to caller,medium,unit tests,,
udp,Unsubscribe,Returns unexpected error,Silent failure propagated to caller,high,requirement testing + unit tests,REQ-UDP-011,
udp (sdudp),Close,Returns unexpected error,Silent failure propagated to caller,high,requirement testing + unit tests,REQ-SDUDP-008,CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
udp (sdudp),Find,Incorrect output,Incorrect system behavior,high,requirement testing + unit tests,REQ-SDUDP-007,CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
udp (sdudp),NewDaemon,Returns unexpected error; Goroutine not terminated,Silent failure propagated to caller; Memory leak or deadlock,high,requirement testing + unit tests,REQ-SDUDP-004,CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
udp (sdudp),Offer,Goroutine not terminated,Memory leak or deadlock,high,requirement testing + unit tests,REQ-SDUDP-006,CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
udp (sdudp),Registry,Incorrect output,Incorrect system behavior,high,requirement testing + unit tests,REQ-SDUDP-005,CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
udp (sdudp),SubscribeEventgroup,Returns unexpected error,Silent failure propagated to caller,high,requirement testing + unit tests,REQ-SDUDP-009,CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint32(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range; CYBER009: uint16(x) — explicit narrowing conversion may silently truncate bits if x exceeds the target type's range
